bathrooms,bedrooms,list_price,latitude,longitude,lot_sqft,sqft,year_from_now,APT_type,COND_type,COOP_type,Country Homes/Acreag_type,FARM_type,LAND_type,MULT_type,OTHER_type,RENT_type,RESI_type,Timeshare_type,actual rent
-1.177769823,-1.088234456,-0.374630872,-1.15762687,0.880303312,-0.106808636,-0.937896349,0.395719329,1,0,0,0,0,0,0,0,0,0,0,1250
0.294165717,-0.296535015,0.636834665,-1.218079496,0.887946654,-0.106808636,-0.287352809,-0.896113356,1,0,0,0,0,0,0,0,0,0,0,11771
-0.441802053,0.495164426,-0.331062678,-0.879205327,0.740745092,-0.108609225,-0.409367475,1.07963075,0,0,0,0,0,0,0,0,0,1,0,1400
0.294165717,-0.296535015,-0.146823319,0.357064149,0.661571583,-0.106808636,0.919505125,-0.706137961,0,0,0,0,0,0,0,0,0,1,0,1250
-0.368205276,-1.088234456,-0.282995284,1.599384502,0.401576535,-0.106808636,-0.369501297,-0.326187171,1,0,0,0,0,0,0,0,0,0,0,1900
1.030133487,-0.296535015,-0.203775207,-0.529803574,-0.139646428,0.1152886,0.174732436,-0.02222654,0,0,0,0,0,0,0,0,0,1,0,1950
-0.441802053,0.495164426,0.016059082,-1.20576911,0.887293942,-0.106808636,0.4815812,0.813665197,0,0,0,0,0,0,0,0,0,1,0,4193
-0.368205276,-0.296535015,-0.354128192,-0.562855726,-0.121722219,-0.067168101,-0.47279094,-0.212201935,0,0,0,0,0,0,0,0,0,1,0,1300
0.294165717,-0.296535015,-0.236807302,-0.957848767,0.747389414,-0.11881563,-0.11641147,-0.592152724,0,0,0,0,0,0,0,0,0,1,0,2345
-1.913737593,-0.296535015,-0.203205688,-0.656289534,-0.024567205,-0.034256811,-0.236010004,-0.326187171,0,0,0,0,0,1,0,0,0,0,0,1050
1.030133487,0.495164426,-0.131503261,-0.41914183,-0.183601741,-0.146821231,0.824671944,-0.250197013,0,0,0,0,0,0,0,0,0,1,0,2682
-0.441802053,-1.088234456,-0.283507851,-1.233022839,0.88642845,-0.106808636,-0.829170409,-0.098216698,1,0,0,0,0,0,0,0,0,0,0,1900
0.294165717,0.495164426,-0.189024668,0.187721965,0.621110215,-0.106808636,0.328156818,-0.706137961,0,0,0,0,0,0,0,0,0,1,0,2339
-0.441802053,0.495164426,-0.274395549,-1.216892638,0.881344504,-0.106808636,-0.506616788,1.041635671,0,0,0,0,0,0,0,0,0,1,0,2000
-1.177769823,-1.088234456,-0.415351472,1.361695032,0.386988032,-0.106808636,-0.903466468,3.28334533,0,0,0,0,0,0,0,0,0,1,0,800
0.294165717,0.495164426,0.337267732,0.228550296,-1.499717946,-0.042097644,0.158423545,0.73767504,0,0,0,0,0,0,0,0,0,1,0,5068
2.502069027,2.078563308,-0.146823319,0.555349495,-1.26801175,-0.110809436,1.362261313,-0.36418225,0,0,0,0,0,0,0,0,0,1,0,2753
-0.441802053,0.495164426,-0.339947172,2.734659882,-1.478385147,0.403410522,-0.414803772,-0.706137961,0,0,0,0,0,0,0,0,0,1,0,1295
0.294165717,-0.296535015,0.410166149,-0.868639212,0.72140174,-0.146825825,0.037012912,-0.402177329,1,0,0,0,0,0,0,0,0,0,0,8292
1.839698034,1.286863867,0.135658047,-0.402885245,-0.027560429,-0.106808636,1.967502379,-0.858118277,0,0,0,0,0,0,0,0,0,1,0,5617
-1.177769823,-2.671633338,-0.282995284,-1.224278684,0.887793081,-0.106808636,-1.102193325,0.775670119,1,0,0,0,0,0,0,0,0,0,0,1869
